ts_utc,action,side,qty,price,pnl,note
1761515700000,OPEN_LONG,LONG,0.008813888573057881,113457.3,0.0,Strategy: My Strategy trail=atr
1761516000000,TP_PARTIAL,LONG,0.004406944286528941,114752.3,5.204139354629451,
1761516000000,TP_FULL,LONG,0.004406944286528941,113899.77857142857,1.4490034230624818,
1761516000000,OPEN_LONG,LONG,0.008714422281732043,114752.3,0.0,Strategy: My Strategy trail=atr
1761530700000,TP_PARTIAL,LONG,0.004357211140866022,115351.8,2.1108420049097054,
1761531900000,STOP,LONG,0.004357211140866022,115056.3142857143,0.8239921054803941,
1761531900000,OPEN_LONG,LONG,0.008702758165145279,114906.1,0.0,Strategy: My Strategy trail=atr
1761540000000,TP_PARTIAL,LONG,0.0043513790825726395,115200.0,0.7782308772118893,
1761541500000,TP_FULL,LONG,0.0043513790825726395,115339.51428571428,1.385006882016774,
1761541500000,OPEN_LONG,LONG,0.008667666915428708,115371.3,0.0,Strategy: My Strategy trail=atr
1761543600000,TP_PARTIAL,LONG,0.004333833457714354,115580.0,0.40401880710366045,
1761545700000,TP_FULL,LONG,0.004333833457714354,115608.10714285714,0.5257695773806547,
1761545700000,OPEN_LONG,LONG,0.00864858132996154,115625.9,0.0,Strategy: My Strategy trail=atr
1761547500000,TP_PARTIAL,LONG,0.00432429066498077,115920.8,0.7745957004443152,
1761550500000,STOP,LONG,0.00432429066498077,115642.41428571427,-0.4286231347326979,
1761550500000,OPEN_LONG,LONG,0.008655790377530953,115529.6,0.0,Strategy: My Strategy trail=atr
1761553500000,STOP,LONG,0.008655790377530953,115249.77142857143,-3.4209263872017184,
1761553500000,OPEN_LONG,LONG,0.008689629882594412,115079.7,0.0,Strategy: My Strategy trail=atr
1761555000000,STOP,LONG,0.008689629882594412,115003.61428571428,-1.6608261181474249,
1761555000000,OPEN_LONG,LONG,0.008706887844836293,114851.6,0.0,Strategy: My Strategy trail=atr
1761557700000,TP_PARTIAL,LONG,0.0043534439224181464,115294.0,1.4250006094821237,
1761560100000,TP_FULL,LONG,0.0043534439224181464,115346.79285714285,1.6547164371862124,
1761560100000,OPEN_LONG,LONG,0.0086599355873991,115474.3,0.0,Strategy: My Strategy trail=atr
1761564000000,STOP,LONG,0.0086599355873991,115220.0,-3.2011205090656785,
1761564000000,OPEN_LONG,LONG,0.008683352017012425,115162.9,0.0,Strategy: My Strategy trail=atr
1761566700000,STOP,LONG,0.008683352017012425,115149.7,-1.1145629365012266,
1761566700000,OPEN_LONG,LONG,0.008685071491165978,115140.1,0.0,Strategy: My Strategy trail=atr
1761571800000,STOP,LONG,0.008685071491165978,114979.82857142857,-2.3912728307266202,
1761571800000,OPEN_LONG,LONG,0.008698829137598079,114958.0,0.0,Strategy: My Strategy trail=atr
1761572100000,STOP,LONG,0.008698829137598079,114710.0142857143,-3.1561067644580136,
1761572100000,OPEN_LONG,LONG,0.008719596945350799,114684.2,0.0,Strategy: My Strategy trail=atr
1761573000000,TP_PARTIAL,LONG,0.0043597984726753995,115308.2,2.2191539898259744,
1761573000000,TP_FULL,LONG,0.0043597984726753995,115096.91428571427,1.2984514369521618,
1761573000000,OPEN_LONG,LONG,0.008672410114805365,115308.2,0.0,Strategy: My Strategy trail=atr
1761573900000,STOP,LONG,0.008672410114805365,114957.3142857143,-4.041503305303166,
1761573900000,OPEN_LONG,LONG,0.008715797033491322,114734.2,0.0,Strategy: My Strategy trail=atr
1761581100000,TP_PARTIAL,LONG,0.004357898516745661,115231.0,1.6639214811276974,
1761582600000,TP_FULL,LONG,0.004357898516745661,115416.57142857142,2.4722185837228023,
1761582600000,OPEN_LONG,LONG,0.008663184066671865,115431.0,0.0,Strategy: My Strategy trail=atr
1761589500000,STOP,LONG,0.008663184066671865,115422.20000000001,-1.0761979017767185,
1761589500000,OPEN_LONG,LONG,0.008669305025162657,115349.5,0.0,Strategy: My Strategy trail=atr
1761591600000,STOP,LONG,0.008669305025162657,115216.72857142857,-2.150460494905883,
1761591600000,OPEN_LONG,LONG,0.008696854608593709,114984.1,0.0,Strategy: My Strategy trail=atr
